"country","category","year","emissions","pop","gdp","lgdp","lpop","lemissions","const","lgdp_sq","emissions_pc","lemissions_pc"
"SE23","Buildings",2010,891.40568508105,1866283,71015.64,11.1706554134551,14.4394593101976,6.7927996381913,1,124.783542366155,0.000477636931312695,-7.64665967200632
"SE23","Buildings",2011,857.87066497707,1879781,78497.56,11.2708228204849,14.446665838659,6.75445334800556,1,127.031447050763,0.000456367345439213,-7.69221249065345
"SE23","Buildings",2012,827.94329187174,1892328,81228.61,11.3050228039941,14.4533183750908,6.71894466396224,1,127.803540598827,0.000437526312495371,-7.73437371112855
"SE23","Buildings",2013,770.04075244405,1904563,83839.82,11.336663352606,14.4597631439021,6.64644343869925,1,128.51993597032,0.000404313615482423,-7.81331970520287
"SE23","Buildings",2014,713.54054508986,1921924,83509.13,11.332711246179,14.468837325587,6.57023926093638,1,128.430344189272,0.000371263663438232,-7.89859806465059
"SE23","Buildings",2015,682.87485919779,1942677,88358.6,11.3891588131351,14.4795774767639,6.52631162052555,1,129.712938470813,0.000351512299367208,-7.95326585623836
"SE23","Buildings",2016,658.8358793501,1963466,90916.78,11.4176998615892,14.490221836833,6.49047445849339,1,130.363870129334,0.000335547383733714,-7.99974737833957
"SE23","Buildings",2017,621.80025219684,1992116,94243.2,11.4536339541663,14.5047079483629,6.43261890321614,1,131.185730756031,0.00031213054470565,-8.07208904514679
"SE23","Buildings",2018,583.02091078471,2015607,91078.92,11.4194816623999,14.5164309486938,6.36822305326252,1,130.404561437887,0.000289253267519268,-8.14820789543132
"SE23","Buildings",2019,592.92940407781,2039166,92036.49,11.4299404078289,14.5280514586999,6.38507534313819,1,130.64353772652,0.000290770542505029,-8.14297611556167
"SE23","Buildings",2020,581.0459115742,2059729,91160.23,11.4203740063929,14.5380849787138,6.36482977537221,1,130.424942445894,0.000282098233104549,-8.17325520334159
"SE23","Buildings",2021,554.66876079859,2071191,101339.68,11.5262333213379,14.543634362103,6.31837110818414,1,132.854054577921,0.000267801840003452,-8.22526325391881
"SE23","Energy",2000,1846.2420766482,1762246,54257.54,10.9014972479201,14.382099689808,7.52090754224434,1,118.84264224641,0.00104766421750891,-6.8611921475637
"SE23","Energy",2001,2389.6160523104,1769645,52219.05,10.8632026498241,14.3862895194624,7.77888798445148,1,118.009171811146,0.00135033639645827,-6.60740153501093
"SE23","Energy",2002,3027.3475119758,1777510,54155.13,10.899607984784,14.3907240665228,8.0154421065207,1,118.801454221967,0.00170313951087521,-6.37528196000205
"SE23","Energy",2003,3419.5254440238,1786781,57985.95,10.9679560188041,14.3959262348688,8.13725706137135,1,120.29605923042,0.00191379102644577,-6.2586691734974
"SE23","Energy",2004,2529.7602062673,1796314,59427.65,10.9925148852602,14.4012473455249,7.83587979709814,1,120.835383502667,0.00140830623502756,-6.56536754842678
"SE23","Energy",2005,2256.8642539345,1805683,60462.72,11.0097822557436,14.4064494715282,7.72173163054024,1,121.215305318887,0.00124986736538722,-6.68471784098797
"SE23","Energy",2006,3502.9270562305,1814323,65511.87,11.0899866265788,14.4112229533434,8.16135419975216,1,122.987803377696,0.00193070751802766,-6.24986875359127
"SE23","Energy",2007,2981.6154342216,1827143,68869.84,11.1399736253184,14.4182641026858,8.00022052464132,1,124.099012372789,0.0016318456925493,-6.41804357804447
"SE23","Energy",2008,2705.8541887915,1838691,68999.09,11.1418485950866,14.4245644633673,7.90317292287075,1,124.140790115834,0.00147161985825324,-6.5213915404966
