"country","year","gdp","pop","category","emissions","lgdp","lpop","lemissions","const","lgdp_sq","emissions_pc","lemissions_pc"
"Greece",2011,215444010389.589,11104899,"2.G",0.01562955,26.0959669001558,16.2228969202671,-4.15859192575016,1,680.999488454025,1.40744638920174e-09,-20.3814888460172
"Greece",2012,200176146628.861,11045011,"2.B",1e-06,26.0224635490209,16.2174893907616,-13.8155105579643,1,677.168609160121,9.05386151267753e-14,-30.0329999487259
"Greece",2012,200176146628.861,11045011,"2.C",0.034265657,26.0224635490209,16.2174893907616,-3.37361168004383,1,677.168609160121,3.10236513118910e-09,-19.5911010708054
"Greece",2012,200176146628.861,11045011,"2.F",3.689948818,26.0224635490209,16.2174893907616,1.30561258749554,1,677.168609160121,3.34082855870402e-07,-14.9118768032661
"Greece",2012,200176146628.861,11045011,"2.G",0.015625979,26.0224635490209,16.2174893907616,-4.15882042932248,1,677.168609160121,1.41475449866007e-09,-20.3763098200841
"Greece",2013,195139720340.78,10965211,"2.B",1e-06,25.9969816535042,16.210238182695,-13.8155105579643,1,675.843055092637,9.11975154878461e-14,-30.0257487406593
"Greece",2013,195139720340.78,10965211,"2.C",0.027213878,25.9969816535042,16.210238182695,-3.60402821521022,1,675.843055092637,2.48183806038935e-09,-19.8142663979053
"Greece",2013,195139720340.78,10965211,"2.F",3.922286082,25.9969816535042,16.210238182695,1.36667466800023,1,675.843055092637,3.57702745710958e-07,-14.8435635146948
"Greece",2013,195139720340.78,10965211,"2.G",0.015630479,25.9969816535042,16.210238182695,-4.15853248882512,1,675.843055092637,1.42546085068495e-09,-20.3687706715202
"Greece",2014,196067992081.695,10892413,"2.B",1e-06,26.0017273343976,16.2035770497947,-13.8155105579643,1,676.089824372359,9.18070220069694e-14,-30.019087607759
"Greece",2014,196067992081.695,10892413,"2.C",0.033290634,26.0017273343976,16.2035770497947,-3.40247918281837,1,676.089824372359,3.05631396826396e-09,-19.6060562326131
"Greece",2014,196067992081.695,10892413,"2.F",3.959655479,26.0017273343976,16.2035770497947,1.37615702122912,1,676.089824372359,3.6352417770057e-07,-14.8274200285656
"Greece",2014,196067992081.695,10892413,"2.G",0.015620407,26.0017273343976,16.2035770497947,-4.15917707857203,1,676.089824372359,1.43406304920682e-09,-20.3627541283667
"Greece",2015,195683527003.375,10820883,"2.B",1e-06,25.9997645330655,16.1969884361859,-13.8155105579643,1,675.987755774851,9.24139000486374e-14,-30.0124989941502
"Greece",2015,195683527003.375,10820883,"2.C",0.029039807,25.9997645330655,16.1969884361859,-3.53908773505314,1,675.987755774851,2.68368182152972e-09,-19.7360761712391
"Greece",2015,195683527003.375,10820883,"2.F",4.031455446,25.9997645330655,16.1969884361859,1.3941274636122,1,675.987755774851,3.72562520637179e-07,-14.8028609725737
"Greece",2015,195683527003.375,10820883,"2.G",0.015626498,25.9997645330655,16.1969884361859,-4.1587872159551,1,675.987755774851,1.44410562428223e-09,-20.355775652141
"Greece",2016,194730209118.466,10775971,"2.B",1e-06,25.9948808945486,16.1928293059032,-13.8155105579643,1,675.73383272177,9.27990619128429e-14,-30.0083398638674
"Greece",2016,194730209118.466,10775971,"2.C",0.032651686,25.9948808945486,16.1928293059032,-3.42185878600181,1,675.73383272177,3.03004583067271e-09,-19.614688091905
"Greece",2016,194730209118.466,10775971,"2.F",4.122688634,25.9948808945486,16.1928293059032,1.41650553159096,1,675.73383272177,3.8258163779394e-07,-14.7763237743122
"Greece",2016,194730209118.466,10775971,"2.G",0.015632708,25.9948808945486,16.1928293059032,-4.15838989299803,1,675.73383272177,1.45070063755739e-09,-20.3512191989012
"Greece",2017,196856953384.064,10754679,"2.B",1e-06,26.005743176974,16.1908514736556,-13.8155105579643,1,676.29867818673,9.29827845163951e-14,-30.0063620316198
"Greece",2017,196856953384.064,10754679,"2.C",0.032731074,26.005743176974,16.1908514736556,-3.41943037707524,1,676.29867818673,3.04342640073218e-09,-19.6102818507308
"Greece",2017,196856953384.064,10754679,"2.F",4.041136231,26.005743176974,16.1908514736556,1.39652589772804,1,676.29867818673,3.7575609936847e-07,-14.7943255759275
"Greece",2017,196856953384.064,10754679,"2.G",0.015624335,26.005743176974,16.1908514736556,-4.15892564426537,1,676.29867818673,1.45279417451697e-09,-20.3497771179209
"Greece",2018,200141371166.33,10732882,"2.B",1e-06,26.0222898096212,16.188822671273,-13.8155105579643,1,677.159566935914,9.31716197010272e-14,-30.0043332292372
"Greece",2018,200141371166.33,10732882,"2.C",0.0333384,26.0222898096212,16.188822671273,-3.40104539321299,1,677.159566935914,3.10619272624072e-09,-19.589868064486
"Greece",2018,200141371166.33,10732882,"2.F",3.916866021,26.0222898096212,16.188822671273,1.36529184960547,1,677.159566935914,3.64940751328488e-07,-14.8235308216675
"Greece",2018,200141371166.33,10732882,"2.G",0.015621335,26.0222898096212,16.188822671273,-4.15911767087317,1,677.159566935914,1.45546508384235e-09,-20.3479403421461
"Greece",2019,203912718651.88,10721582,"2.B",1e-06,26.0409578894911,16.1877692773457,-13.8155105579643,1,678.13148780225,9.3269817830988e-14,-30.00327983531
"Greece",2019,203912718651.88,10721582,"2.C",0.0306796536177491,26.0409578894911,16.1877692773457,-3.48415559271145,1,678.13148780225,2.86148570404527e-09,-19.6719248700572
"Greece",2019,203912718651.88,10721582,"2.F",3.92168583166901,26.0409578894911,16.1877692773457,1.3665216204527,1,678.13148780225,3.65774923110135e-07,-14.821247656893
"Greece",2019,203912718651.88,10721582,"2.G",0.0156203647745178,26.0409578894911,16.1877692773457,-4.15917978180116,1,678.13148780225,1.45690857697286e-09,-20.3469490591469
"Greece",2020,185552328472.832,10698599,"2.B",1e-06,25.946602773406,16.18562335628,-13.8155105579643,1,673.226195480919,9.34701824042569e-14,-30.0011339142443
"Greece",2020,185552328472.832,10698599,"2.C",0.0324977288571918,25.946602773406,16.18562335628,-3.42658507340543,1,673.226195480919,3.0375686440058e-09,-19.6122084296854
"Greece",2020,185552328472.832,10698599,"2.F",3.99281473005013,25.946602773406,16.18562335628,1.38449642831947,1,673.226195480919,3.73209121124189e-07,-14.8011269279605
"Greece",2020,185552328472.832,10698599,"2.G",0.0156350249782901,25.946602773406,16.18562335628,-4.1582416904855,1,673.226195480919,1.46140863661589e-09,-20.3438650467655
